"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 19:56:27 CST 2022","Thu Nov 10 19:56:28 CST 2022","223","testcase_api","test_018_mib_out_of_control","TestMibOutOfControl","","","税收监管--各矿区设备在离线情况--市级",""
"passed","Thu Nov 10 19:56:10 CST 2022","Thu Nov 10 19:56:11 CST 2022","227","testcase_api","test_010_emerg_dispatch_list","TestEmergDispatchList","","","指挥中心应急事件上报--区县",""
"passed","Thu Nov 10 19:56:19 CST 2022","Thu Nov 10 19:56:20 CST 2022","336","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","指挥中心--告警分类--镇街",""
"passed","Thu Nov 10 19:56:08 CST 2022","Thu Nov 10 19:56:08 CST 2022","277","testcase_api","test_009_emergcase_uploads","TestEmergcaseUploads","","","指挥中心应急事件上报-市级",""
"passed","Thu Nov 10 19:57:27 CST 2022","Thu Nov 10 19:57:27 CST 2022","233","testcase_api","test_082_boss_car_inout_data_weight_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据统计列表筛选--销售量",""
"passed","Thu Nov 10 19:55:11 CST 2022","Thu Nov 10 19:55:38 CST 2022","26976","testcase_api","test_007_boss_belt_data_count_by_point","TestBossBeltDataCountByPoint","","","税收监管今年累计加工量--区县",""
"passed","Thu Nov 10 19:56:19 CST 2022","Thu Nov 10 19:56:19 CST 2022","421","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","指挥中心--告警分类--市级",""
"passed","Thu Nov 10 19:56:52 CST 2022","Thu Nov 10 19:56:53 CST 2022","487","testcase_api","test_036_moat_org_full_tree","TestMoatOrgFullTree","","","组织管理--部门与成员--编辑成员--部门职位选项",""
"passed","Thu Nov 10 19:53:47 CST 2022","Thu Nov 10 19:53:48 CST 2022","1011","testcase_api","test_002_horn_district_statistics","TestHornDistrictStatistics","","","指挥中心顶部看板区县",""
"passed","Thu Nov 10 19:53:48 CST 2022","Thu Nov 10 19:53:49 CST 2022","742","testcase_api","test_002_horn_district_statistics","TestHornDistrictStatistics","","","指挥中心顶部看板镇街",""
"passed","Thu Nov 10 19:57:15 CST 2022","Thu Nov 10 19:57:15 CST 2022","216","testcase_api","test_066_beacon_event_detail","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:29 CST 2022","Thu Nov 10 19:56:32 CST 2022","2865","testcase_api","test_021_boss_ticket_top_count","TestBossTicketTopCount","","","税收监管--顶部看板--市级",""
"passed","Thu Nov 10 19:56:47 CST 2022","Thu Nov 10 19:56:48 CST 2022","1137","testcase_api","test_028_gbserver_tree","TestGbserverTree","","","视频监控--视频监控树",""
"passed","Thu Nov 10 19:57:13 CST 2022","Thu Nov 10 19:57:13 CST 2022","210","testcase_api","test_062_beacon_alert_types","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:18 CST 2022","Thu Nov 10 19:57:19 CST 2022","431","testcase_api","test_073_iot_alert_belt_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:19 CST 2022","Thu Nov 10 19:56:19 CST 2022","343","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","指挥中心--告警分类--区县",""
"passed","Thu Nov 10 19:56:08 CST 2022","Thu Nov 10 19:56:09 CST 2022","206","testcase_api","test_009_emergcase_uploads","TestEmergcaseUploads","","","指挥中心应急事件上报--区县",""
"passed","Thu Nov 10 19:56:54 CST 2022","Thu Nov 10 19:56:54 CST 2022","208","testcase_api","test_040_moat_role_permission","TestMoatOrgFullTree","","","组织管理--角色管理--具体角色权限树",""
"passed","Thu Nov 10 19:56:11 CST 2022","Thu Nov 10 19:56:12 CST 2022","1238","testcase_api","test_010_emerg_dispatch_list","TestEmergDispatchList","","","指挥中心应急事件上报--镇街",""
"passed","Thu Nov 10 19:57:19 CST 2022","Thu Nov 10 19:57:19 CST 2022","285","testcase_api","test_075_mib_dev_stat","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:15 CST 2022","Thu Nov 10 19:57:16 CST 2022","204","testcase_api","test_067_iot_zengshi_brake_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:29 CST 2022","Thu Nov 10 19:56:29 CST 2022","194","testcase_api","test_020_boss_point_select","TestBossPointSelect","","","税收监管--矿区选择--区县",""
"passed","Thu Nov 10 19:57:01 CST 2022","Thu Nov 10 19:57:02 CST 2022","206","testcase_api","test_051_boss_company_select","TestMoatOrgFullTree","","","企业管理--矿企管理--编辑时的关联企业选择",""
"passed","Thu Nov 10 19:53:59 CST 2022","Thu Nov 10 19:53:59 CST 2022","528","testcase_api","test_006_boss_point_mines","TestBossPointMines","","","指挥中心顶部视频/数据接入/今日作业--详情",""
"failed","Thu Nov 10 19:56:50 CST 2022","Thu Nov 10 19:56:51 CST 2022","213","testcase_api","test_029_bi_board_list","TestGbserverTree","","","大屏配置--app端",""
"passed","Thu Nov 10 19:57:17 CST 2022","Thu Nov 10 19:57:17 CST 2022","207","testcase_api","test_070_mib_face","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
